Season,Thermal comfort,Air temperature,Relative humidity,Outdoor air temperature
4,5.0,27.7,52.0,38.1
4,5.0,28.0,55.0,38.1
4,6.0,30.7,72.0,38.1
4,6.0,30.7,72.0,38.1
4,6.0,30.7,72.0,38.1
4,5.0,27.8,55.0,38.1
4,5.0,26.2,47.0,38.1
4,5.0,27.5,44.0,38.1
4,5.0,27.5,44.0,38.1
4,4.0,25.7,43.0,38.1
4,4.0,25.7,43.0,38.1
4,5.0,27.4,56.0,38.1
4,5.0,27.4,56.0,38.1
2,4.0,23.9,67.0,29.7
2,4.0,23.9,67.0,29.7
2,4.0,23.9,67.0,29.7
2,4.0,26.6,45.0,29.7
2,4.0,26.6,45.0,29.7
2,4.0,25.2,50.0,29.7
2,4.0,24.8,46.0,29.7
2,4.0,24.8,46.0,29.7
2,4.0,24.9,46.0,29.7
2,4.0,24.8,46.0,29.7
2,4.0,24.8,46.0,29.7
2,5.0,28.2,52.0,29.7
2,5.0,28.2,52.0,29.7
2,5.0,28.2,52.0,29.7
2,5.0,27.6,48.0,29.7
2,5.0,27.6,48.0,29.7
2,5.0,27.6,48.0,29.7
2,5.0,26.9,52.0,29.7
2,5.0,26.9,52.0,29.7
2,4.0,24.8,51.0,29.7
2,4.0,24.8,51.0,29.7
2,4.0,24.8,51.0,29.7
2,4.0,24.8,50.0,29.7
2,4.0,25.2,48.0,29.7
2,5.0,27.5,49.0,29.7
2,5.0,27.5,63.0,29.7
2,5.0,27.5,63.0,29.7
2,5.0,27.3,68.0,29.7
2,5.0,26.3,71.0,29.7
2,4.0,24.6,45.0,29.7
2,4.0,24.6,45.0,29.7
2,4.0,24.6,45.0,29.7
2,4.0,24.5,50.0,29.7
2,4.0,24.5,50.0,29.7
2,4.0,24.5,50.0,29.7
2,5.0,26.9,63.0,29.7
2,4.0,25.2,53.0,29.7
2,4.0,25.2,53.0,29.7
2,4.0,26.1,48.0,29.7
2,4.0,26.1,48.0,29.7
2,5.0,28.3,51.0,29.7
2,5.0,28.3,51.0,29.7
2,5.0,28.3,51.0,29.7
2,5.0,28.3,51.0,29.7
2,5.0,28.3,51.0,29.7
2,5.0,28.5,48.0,29.7
2,5.0,28.5,48.0,29.7
2,5.0,28.5,48.0,29.7
2,4.0,24.6,54.0,29.7
2,4.0,26.4,48.0,29.7
2,5.0,28.6,37.0,29.7
2,5.0,28.6,37.0,29.7
2,5.0,28.7,36.0,29.7
2,4.0,24.4,40.0,29.7
2,4.0,24.4,40.0,29.7
2,4.0,24.4,40.0,29.7
2,4.0,25.9,42.0,29.7
2,4.0,25.9,42.0,29.7
2,4.0,25.9,42.0,29.7
2,5.0,28.9,63.0,29.7
2,5.0,28.9,63.0,29.7
2,5.0,28.9,63.0,29.7
2,5.0,28.9,63.0,29.7
2,5.0,28.9,62.0,29.7
2,5.0,28.9,62.0,29.7
2,5.0,28.9,62.0,29.7
2,5.0,27.0,46.0,29.7
2,5.0,27.0,46.0,29.7
2,5.0,27.0,46.0,29.7
2,5.0,27.0,46.0,29.7
2,4.0,25.9,45.0,29.7
2,4.0,25.9,45.0,29.7
2,4.0,23.3,48.0,29.7
2,4.0,23.3,48.0,29.7
2,4.0,23.3,48.0,29.7
2,5.0,28.4,39.0,29.7
2,4.0,26.0,38.0,29.7
2,4.0,26.0,38.0,29.7
2,4.0,26.0,38.0,29.7
1,5.0,28.0,49.0,30.8
1,5.0,28.0,49.0,30.8
1,5.0,28.1,49.0,30.8
1,4.0,23.3,55.0,30.8
1,4.0,23.3,55.0,30.8
1,3.0,24.7,58.0,30.8
1,4.0,24.4,51.0,30.8
1,4.0,23.9,50.0,30.8
1,4.0,23.9,50.0,30.8
1,4.0,25.1,47.0,30.8
1,4.0,25.1,47.0,30.8
1,4.0,25.1,47.0,30.8
1,4.0,24.6,46.0,30.8
1,4.0,24.6,46.0,30.8
1,4.0,24.6,46.0,30.8
1,4.0,26.0,49.0,30.8
1,4.0,25.8,49.0,30.8
1,4.0,25.5,39.0,30.8
1,4.0,25.1,41.0,30.8
1,4.0,25.1,41.0,30.8
1,4.0,25.1,41.0,30.8
1,4.0,25.1,41.0,30.8
1,4.0,25.1,41.0,30.8
1,5.0,27.7,44.0,30.8
1,5.0,28.8,63.0,30.8
1,5.0,28.8,63.0,30.8
1,6.0,30.0,66.0,30.8
1,6.0,30.1,66.0,30.8
1,5.0,29.0,36.0,21.6
1,5.0,29.0,36.0,21.6
1,5.0,29.4,35.0,21.6
1,5.0,29.4,35.0,21.6
1,5.0,29.4,35.0,21.6
1,5.0,29.4,35.0,21.6
1,5.0,28.5,39.0,21.6
1,5.0,28.5,39.0,21.6
1,4.0,25.9,37.0,21.6
1,4.0,25.9,37.0,21.6
1,4.0,25.3,38.0,21.6
1,4.0,25.3,38.0,21.6
1,4.0,25.3,38.0,21.6
1,4.0,25.3,38.0,21.6
1,4.0,25.5,38.0,21.6
1,4.0,25.5,38.0,21.6
1,4.0,25.5,38.0,21.6
1,4.0,25.5,38.0,21.6
1,4.0,25.8,38.0,21.6
