Season,Thermal preference,Thermal comfort,Air temperature,Relative humidity,Outdoor air temperature
4,0,5.0,24.5,46.6,25.9
4,0,5.0,23.9,47.5,25.9
4,1,5.0,23.4,44.9,25.9
4,0,5.0,23.4,44.9,25.9
4,-1,5.0,23.4,44.9,25.9
4,0,5.0,23.9,42.7,25.9
4,-1,5.0,23.9,42.8,25.9
4,0,4.0,24.4,41.9,25.9
4,0,5.0,24.4,41.9,25.9
4,-1,6.0,24.1,40.9,25.9
4,0,2.0,23.8,38.7,25.9
4,0,4.0,23.6,39.3,25.9
4,0,4.0,24.1,40.3,25.9
4,0,6.0,23.3,42.1,25.9
4,0,5.0,23.6,42.5,25.9
4,0,5.0,23.7,41.8,25.9
4,-1,5.0,22.2,44.5,25.9
4,0,6.0,22.2,45.6,25.9
4,-1,5.0,23.1,41.6,25.9
4,-1,5.0,22.7,41.1,25.9
4,-1,5.0,24.2,39.9,25.9
4,0,6.0,24.0,39.8,25.9
4,0,5.0,23.8,39.3,25.9
4,-1,5.0,23.9,39.1,25.9
4,0,5.0,24.3,37.4,25.9
4,0,6.0,23.7,38.7,25.9
4,0,6.0,23.4,43.9,25.9
4,0,6.0,26.0,37.3,25.9
4,0,3.0,22.9,42.8,25.9
4,0,3.0,24.5,41.0,25.9
4,1,6.0,24.0,43.1,25.9
4,-1,5.0,23.0,44.9,25.9
4,0,5.0,22.8,44.1,25.9
4,0,5.0,22.5,45.4,25.9
4,0,4.0,22.8,52.2,25.9
4,-1,4.0,24.0,38.3,25.9
4,0,5.0,23.9,46.5,25.9
4,0,5.0,25.2,35.2,25.9
4,-1,5.0,25.2,35.2,25.9
4,-1,5.0,23.7,45.9,25.9
4,0,5.0,22.9,47.0,25.9
4,0,5.0,23.9,43.9,25.9
4,-1,5.0,23.5,44.1,25.9
4,0,5.0,23.1,45.3,25.9
4,0,5.0,22.7,46.4,25.9
4,0,6.0,22.7,46.5,25.9
4,0,5.0,24.7,35.7,25.9
4,0,4.0,23.4,46.4,25.9
4,0,5.0,23.2,47.2,25.9
4,-1,5.0,25.1,42.2,25.9
4,-1,5.0,25.6,41.7,25.9
4,0,5.0,25.6,41.3,25.9
4,-1,4.0,25.2,48.7,25.9
4,0,5.0,25.3,46.9,25.9
4,0,3.0,25.7,46.9,25.9
4,0,5.0,23.6,58.9,25.9
4,0,5.0,23.6,58.9,25.9
4,0,6.0,23.3,61.3,25.9
4,0,5.0,23.4,59.6,25.9
4,-1,6.0,23.2,60.5,25.9
4,0,6.0,23.4,59.9,25.9
4,0,4.0,23.4,59.9,25.9
4,0,5.0,23.6,59.9,25.9
4,0,5.0,24.6,49.9,25.9
4,0,6.0,23.6,51.9,25.9
4,-1,6.0,24.8,45.1,25.9
4,1,5.0,24.8,44.0,25.9
4,0,4.0,23.6,45.6,25.9
4,-1,1.0,23.6,38.5,25.9
4,1,6.0,23.4,40.9,25.9
4,0,6.0,22.3,50.8,25.9
4,0,4.0,21.5,52.2,25.9
4,0,4.0,22.0,47.9,25.9
4,1,4.0,22.4,47.5,25.9
4,1,4.0,22.5,47.5,25.9
4,0,5.0,22.5,47.6,25.9
4,1,3.0,22.3,48.0,25.9
4,-1,6.0,20.9,49.0,25.9
4,1,4.0,20.9,58.3,25.9
4,0,5.0,22.5,46.9,25.9
4,1,5.0,21.2,57.1,25.9
4,1,5.0,22.0,59.9,25.9
4,1,5.0,22.1,61.0,25.9
4,1,4.0,22.0,51.1,25.9
4,1,6.0,22.1,46.5,25.9
4,0,6.0,21.6,47.8,25.9
4,0,6.0,21.6,52.7,25.9
4,0,5.0,22.0,44.3,25.9
4,0,5.0,22.5,50.8,25.9
4,0,5.0,22.8,49.5,25.9
4,-1,6.0,23.0,52.7,25.9
4,1,5.0,21.8,49.0,25.9
4,0,5.0,24.7,53.4,25.9
4,-1,6.0,23.4,56.2,25.9
4,-1,5.0,23.5,54.9,25.9
4,0,6.0,23.5,54.5,25.9
4,1,4.0,24.3,48.1,25.9
4,0,4.0,23.1,47.4,25.9
4,-1,6.0,22.6,48.5,25.9
4,0,5.0,24.9,45.5,25.9
4,0,4.0,24.1,46.3,25.9
4,0,4.0,24.6,45.8,25.9
4,-1,4.0,24.6,45.5,25.9
4,-1,4.0,24.2,46.9,25.9
4,-1,5.0,25.1,49.2,25.9
4,1,3.0,23.6,46.5,25.9
4,1,5.0,22.8,48.4,25.9
4,0,4.0,23.2,46.9,25.9
4,0,5.0,23.8,50.8,25.9
4,0,5.0,23.8,47.9,25.9
4,0,5.0,24.4,60.7,25.9
4,0,5.0,24.5,59.8,25.9
4,0,5.0,24.4,58.9,25.9
4,0,5.0,24.5,61.5,25.9
4,1,4.0,24.3,47.8,25.9
4,0,5.0,24.7,44.7,25.9
4,0,6.0,25.2,70.1,25.9
4,0,5.0,25.8,48.6,25.9
4,-1,5.0,24.9,42.2,25.9
4,0,4.0,24.0,64.9,25.9
4,0,5.0,23.3,70.3,25.9
4,0,5.0,23.1,72.0,25.9
4,0,5.0,24.4,48.5,25.9
4,0,5.0,22.0,49.7,25.9
4,0,5.0,22.2,49.1,25.9
4,0,6.0,22.2,48.1,25.9
4,-1,5.0,23.4,56.4,25.9
4,-1,5.0,23.4,55.9,25.9
4,1,6.0,23.4,56.4,25.9
4,0,5.0,23.5,56.9,25.9
4,0,5.0,23.8,59.1,25.9
4,0,5.0,23.7,58.7,25.9
4,1,5.0,23.7,58.7,25.9
4,-1,6.0,23.8,59.1,25.9
4,-1,3.0,23.6,71.5,25.9
4,1,5.0,24.0,53.1,25.9
4,-1,4.0,24.1,48.7,25.9
4,-1,3.0,24.0,57.1,25.9
4,0,5.0,25.3,48.6,25.9
4,0,6.0,23.1,38.7,25.9
4,0,5.0,23.7,63.6,25.9
4,-1,6.0,25.3,59.5,25.9
4,0,4.0,25.2,59.6,25.9
4,-1,5.0,25.3,39.1,25.9
4,0,4.0,25.0,43.3,25.9
4,0,5.0,25.6,41.3,25.9
4,-1,5.0,25.6,41.4,25.9
4,0,6.0,23.5,46.5,25.9
4,0,5.0,24.0,45.7,25.9
4,-1,4.0,26.3,38.6,25.9
4,-1,3.0,26.4,38.2,25.9
4,0,5.0,25.4,41.7,25.9
4,0,4.0,23.9,44.7,25.9
4,0,5.0,23.5,44.9,25.9
4,0,5.0,23.5,44.9,25.9
4,0,5.0,23.7,43.9,25.9
4,-1,4.0,23.6,46.4,25.9
4,0,6.0,23.4,46.3,25.9
4,-1,5.0,25.9,39.7,25.9
4,-1,4.0,24.5,47.0,25.9
4,-1,5.0,24.7,45.9,25.9
4,-1,5.0,24.3,46.4,25.9
4,0,5.0,23.6,43.8,25.9
4,0,4.0,23.0,46.2,25.9
4,0,5.0,24.1,43.2,25.9
4,1,3.0,23.1,45.5,25.9
4,-1,4.0,23.6,41.3,25.9
4,0,5.0,24.4,48.9,25.9
4,0,6.0,24.9,39.8,25.9
4,0,6.0,23.6,42.8,25.9
4,-1,4.0,24.5,43.9,25.9
4,0,5.0,24.4,43.9,25.9
4,0,5.0,23.3,52.1,25.9
4,-1,5.0,23.1,52.1,25.9
4,0,5.0,22.7,51.6,25.9
4,0,5.0,22.6,51.6,25.9
4,1,6.0,23.0,51.1,25.9
4,1,5.0,23.1,50.9,25.9
4,0,5.0,21.9,52.1,25.9
4,-1,3.0,21.7,53.6,25.9
4,-1,5.0,22.9,50.1,25.9
4,0,5.0,23.8,48.0,25.9
4,0,4.0,23.8,49.1,25.9
4,0,5.0,22.8,51.7,25.9
4,-1,5.0,23.3,57.6,25.9
4,-1,5.0,23.2,55.6,25.9
4,-1,4.0,24.2,52.6,25.9
4,-1,5.0,24.3,51.7,25.9
4,0,5.0,23.6,55.3,25.9
4,0,6.0,23.2,55.5,25.9
4,0,4.0,24.0,44.2,25.9
4,0,4.0,23.7,44.1,25.9
4,0,6.0,23.3,44.6,25.9
4,-1,5.0,22.6,46.6,25.9
